iter	Passed	Remaining
0	7	2274
1	15	2254
2	21	2167
3	28	2124
4	36	2127
5	43	2118
6	50	2098
7	56	2073
8	62	2031
9	69	2020
10	76	2003
11	82	1990
12	89	1970
13	95	1958
14	101	1936
15	108	1924
16	114	1912
17	121	1895
18	127	1882
19	133	1867
20	140	1862
21	147	1860
22	153	1849
23	160	1842
24	166	1829
25	172	1819
26	179	1813
27	185	1804
28	192	1794
29	198	1785
30	204	1778
31	211	1773
32	218	1765
33	224	1758
34	231	1749
35	237	1744
36	244	1738
37	251	1732
38	257	1723
39	264	1717
40	270	1711
41	277	1704
42	283	1696
43	290	1688
44	296	1680
45	303	1674
46	310	1669
47	316	1661
48	323	1654
49	329	1649
50	336	1641
51	343	1637
52	349	1630
53	356	1622
54	362	1614
55	369	1608
56	376	1603
57	382	1595
58	388	1587
59	394	1579
60	401	1573
61	408	1568
62	415	1561
63	421	1555
64	428	1548
65	434	1542
66	441	1535
67	448	1529
68	455	1523
69	462	1518
70	482	1556
71	491	1555
72	499	1553
73	506	1546
74	512	1537
75	518	1529
76	525	1520
77	531	1512
78	538	1505
79	544	1496
80	550	1488
81	557	1481
82	563	1473
83	570	1466
84	576	1458
85	583	1451
86	589	1444
87	596	1437
88	603	1431
89	611	1426
90	621	1426
91	627	1419
92	635	1413
93	642	1408
94	649	1401
95	656	1395
96	664	1390
97	671	1384
98	679	1378
99	686	1372
100	693	1366
101	701	1361
102	709	1356
103	716	1350
104	733	1362
105	740	1354
106	747	1347
107	754	1340
108	761	1334
109	768	1326
110	774	1318
111	781	1311
112	787	1303
113	794	1296
114	801	1289
115	808	1282
116	815	1276
117	823	1269
118	830	1262
119	837	1255
120	843	1248
121	850	1240
122	857	1233
123	864	1227
124	872	1221
125	878	1213
126	885	1206
127	892	1199
128	900	1193
129	907	1186
130	914	1179
131	920	1172
132	927	1165
133	934	1158
134	941	1150
135	948	1143
136	954	1135
137	962	1130
138	970	1124
139	977	1117
140	984	1110
141	991	1103
142	999	1096
143	1005	1089
144	1015	1085
145	1023	1079
146	1030	1072
147	1036	1064
148	1043	1057
149	1050	1050
150	1057	1043
151	1064	1036
152	1070	1028
153	1077	1021
154	1083	1013
155	1090	1006
156	1096	998
157	1103	991
158	1110	984
159	1117	977
160	1124	970
161	1131	963
162	1138	956
163	1145	950
164	1153	943
165	1159	936
166	1166	929
167	1173	922
168	1180	915
169	1188	909
170	1195	902
171	1202	895
172	1210	888
173	1217	881
174	1224	874
175	1230	867
176	1237	860
177	1244	852
178	1250	845
179	1256	837
180	1263	830
181	1269	823
182	1276	816
183	1282	808
184	1290	802
185	1297	794
186	1303	787
187	1310	780
188	1317	773
189	1323	766
190	1329	758
191	1336	751
192	1342	744
193	1349	737
194	1356	730
195	1362	722
196	1368	715
197	1375	708
198	1381	701
199	1388	694
200	1395	687
201	1401	680
202	1409	673
203	1416	666
204	1423	659
205	1430	652
206	1437	645
207	1445	639
208	1452	632
209	1459	625
210	1467	618
211	1474	612
212	1481	605
213	1488	598
214	1495	591
215	1501	584
216	1508	577
217	1516	570
218	1523	563
219	1530	556
220	1537	549
221	1544	542
222	1551	535
223	1557	528
224	1564	521
225	1570	514
226	1577	507
227	1583	500
228	1590	493
229	1597	486
230	1603	479
231	1610	472
232	1616	464
233	1623	457
234	1630	451
235	1637	444
236	1645	437
237	1651	430
238	1658	423
239	1664	416
240	1671	409
241	1678	402
242	1684	395
243	1691	388
244	1697	381
245	1703	374
246	1710	367
247	1717	360
248	1723	353
249	1730	346
250	1736	339
251	1743	332
252	1750	325
253	1757	318
254	1764	311
255	1773	304
256	1780	297
257	1787	290
258	1793	283
259	1800	277
260	1809	270
261	1816	263
262	1822	256
263	1829	249
264	1837	242
265	1844	235
266	1851	228
267	1858	221
268	1865	214
269	1872	208
270	1879	201
271	1887	194
272	1893	187
273	1900	180
274	1908	173
275	1915	166
276	1922	159
277	1928	152
278	1935	145
279	1942	138
280	1949	131
281	1955	124
282	1962	117
283	1969	110
284	1976	104
285	1982	97
286	1988	90
287	1996	83
288	2002	76
289	2009	69
290	2016	62
291	2023	55
292	2042	48
293	2051	41
294	2058	34
295	2065	27
296	2072	20
297	2078	13
298	2084	6
299	2089	0
